Gene,Transcript
261657,566782
261657,562780
261657,569579
261657,568242
261657,565530
223116,411184
233440,418454
207157,384428
229483,414345
252952,517143
235205,452855
232849,443228
236803,418445
232163,434567
252365,516556
229558,443092
235784,426409
224394,445540
212559,391257
232977,575689
232977,576696
232977,443778
236520,436329
227893,425800
212057,390768
222129,410197
232102,457365
242037,470538
238230,433569
227640,438290
205861,382133
205861,417034
205861,435039
235768,299197
237924,434403
260962,563184
252335,516526
238463,459449
223298,411366
196593,442969
196593,420143
196593,602724
200211,363341
271492,604810
223392,416909
228741,439928
247400,606011
247400,499499
225674,451446
229622,442927
252695,516886
227213,430733
227714,439477
240868,449656
232373,445588
234627,423502
234627,540358
251901,516092
261498,561557
226977,412282
233545,414485
242614,482613
233273,415152
205822,445572
205822,440905
205822,450973
235137,426420
235137,442053
243300,442322
243300,606237
266216,582879
244615,455130
234267,453253
243008,453498
272329,606916
272329,606096
211508,390174
222472,410540
207474,384743
252154,516345
225404,431005
238522,459402
233124,453862
231417,438849
202290,365420
271625,603247
226695,457591
226134,437334
238407,459616
233291,443410
270725,604129
253771,434100
253771,429698
253771,435256
253771,381871
232217,446770
222969,411037
263399,582699
269189,595998
269599,597248
251299,505530
231194,432229
271437,604953
232858,428810
224418,434547
256305,545020
217686,401550
234056,413501
233549,451978
238169,457628
233662,430810
225105,435725
243366,476209
235315,431134
229918,439367
261530,567516
261530,566356
221324,408397
260509,568856
231981,417594
234152,447693
265546,577303
260666,568277
207298,384568
199767,362897
260992,562781
180803,447435
180803,320572
230871,413224
242381,482473
260334,561776
223158,411226
231983,439079
234005,491037
228889,426037
228889,445737
233963,426792
201793,364923
218502,394213
207719,384986
234706,425846
228808,428776
271559,603212
238241,446203
227882,431978
266207,582220
203441,366259
234031,425466
212197,390895
234168,437113
237001,586418
237001,413063
237001,585599
234239,436148
230256,395943
223782,413365
263615,583390
218198,456044
218198,402278
227659,430125
232162,440657
234303,416009
230641,452222
234772,444744
201245,364375
238305,459208
207500,384769
260738,564841
207051,384323
221756,408829
225999,455914
252247,516438
229609,431171
236554,451989
201242,364372
203602,366409
252499,516690
228501,432924
226703,414095
261125,567371
261125,568084
261125,567419
261125,562865
261125,568643
261125,568276
261125,568474
270632,603008
207330,384600
234650,451662
234650,455958
234650,414553
247381,499662
260704,567234
242360,487762
224356,454752
224356,608779
271026,605192
235115,429873
235115,420602
234354,427219
234354,538139
261485,563843
237082,454311
232587,417549
200840,363970
233009,457843
235472,421800
202237,365367
214051,397387
233588,419457
229599,436722
236339,422362
272349,606869
221670,408743
201155,364285
236758,434779
236758,417624
236758,452602
215399,400214
265164,581814
223460,425504
229975,415870
270680,605701
201690,364820
179141,323380
179141,587588
264482,577547
236860,447779
236258,452384
224329,453470
243319,607251
243319,437115
224405,450264
234445,444686
234445,451630
122043,400540
122043,481738
122043,380640
272143,606448
266505,585222
270581,418923
261057,569288
224511,413591
224511,432770
269942,602560
232117,437721
238869,459526
231633,430111
232643,435044
222301,410369
266816,579551
252928,517119
250878,605100
250878,298105
215049,450181
272542,607072
236463,412722
234551,444795
230474,415853
225823,455851
232307,448407
238121,447147
238121,420210
238121,417079
238121,429808
238121,420219
238121,450327
238121,452659
238121,444319
238121,416261
226620,608426
226620,596398
226620,601607
226620,599179
226620,598478
226620,454555
226620,599264
226620,415294
226620,608220
226620,608624
226620,414368
226620,598229
225039,420694
261577,565220
261577,562805
261577,565780
261577,563199
261577,563935
261577,569590
261577,567112
261577,562657
261577,563461
252550,516741
236444,436446
236444,538122
222643,410711
222682,410750
213411,393978
233532,439790
233532,435024
233532,444865
232489,442257
174418,446059
224117,433704
272274,607593
230156,421601
237879,414407
227590,429024
227590,452440
174408,328558
224743,592950
224743,585870
224743,588726
224743,590344
224743,593246
224743,590721
224743,451495
224743,586973
224743,586464
224743,588425
224743,585582
224743,411835
224743,589840
224743,429200
224743,587596
224743,591131
224743,591300
196777,356139
239050,459108
221316,408389
201847,364977
221650,408723
221473,408546
227248,449551
223177,411245
232087,392864
229938,412809
236094,440633
236242,439299
238185,433788
223617,455487
230233,416002
230403,415283
236053,432575
261163,567301
261163,567627
261163,567798
261163,562091
265841,580069
231894,425638
229792,439008
221041,408114
234854,416090
198618,358455
198618,394336
229427,455755
255813,430722
201161,364291
231428,411690
232193,440372
229715,428783
229715,490410
229715,566025
226204,449840
265885,577950
238629,459093
235965,450653
224821,458403
235822,441659
229289,424219
237637,428419
232814,417970
226818,413933
230633,418076
255831,545740
231620,433210
215515,400497
225239,411449
212609,391307
259831,569854
212293,390991
230198,448908
270008,461502
229152,426991
271486,603349
229336,282964
229800,437678
227105,413631
215353,400117
233480,443479
225760,440735
233236,436373
225870,422994
251851,516042
252963,517154
235875,425094
207325,384595
233676,425091
226968,421002
233644,423329
234439,447938
227352,435037
